obj_id,type
ZTF18aatfxtd,SN Ia
ZTF18aawppyt,SN Ia
ZTF18aasxwhv,SN Ia
ZTF21abetapt,SN Ia
ZTF19aaxzdtw,SN Ic
ZTF18aceexmi,SN Ia
ZTF23aaenexu,SN Ia
ZTF22aadepde,SN Ia
ZTF22aanczjk,SN Ia
ZTF18aajjhkq,SN Ia
ZTF18aaxcfbt,SN Ia
ZTF20aambbfn,SN Ia
ZTF21aarmuxl,SN Ib/c
ZTF18acllhfg,SN Ia
ZTF20acywefl,SN Ia
ZTF22aalyumh,SN Ia
ZTF20aarasxl,SN Ia
ZTF18aaxjuwy,SN IIn
ZTF23aadrtlp,SN Ia
ZTF18acnbptb,SN IIP
ZTF22aabomyi,SN IIn
ZTF20ackhzba,SN Ia
ZTF20aafjjqj,SN Ia
ZTF21aaplooj,SN Ia
ZTF18acwyvet,SN IIL
ZTF19abaukyt,SN Ia
ZTF19aamhhgu,SN Ia
ZTF21aaaosmn,SN Ia
ZTF20abplamr,SN Ia
ZTF19aaraxhh,SN Ia
ZTF20acqksdi,SN Ia
ZTF22aakqruk,SN Ia
ZTF18abcdzyc,SN Ia
ZTF21aalimtr,SN Ia
ZTF19acxlylb,SN Ia
ZTF18aakfabl,SN IIP
ZTF18aarlukc,SN Ia
ZTF20acywbes,SN Ia
ZTF19aaqhelq,SN Ia
ZTF20abswjae,SN Ia
ZTF23aaemepn,SN Ia
ZTF19aanbpus,SN IIb
ZTF18acsremz,SN Ia
ZTF23abjrdne,SN Ia
ZTF22abtbijr,SN Ia
ZTF19acfqtej,SN Ia
ZTF21aaaaddl,SN Ia
ZTF21abfxibf,SN Ia
ZTF23aaptfsu,SN Ia
ZTF21aaxwcgj,SN Ia
ZTF21acdalyp,SN Ia-91T
ZTF20acwofhd,SN Ic
ZTF20abnmahn,SN Ia
ZTF21abukwfl,SN Ia
ZTF23aaqaasr,SN Ia
ZTF21acqpapq,SN Ia
ZTF22abfwthv,SN Ia
ZTF22aamrhna,SN Ia
ZTF21abybnni,SN Ia
ZTF18acdzpgs,SN Ia
ZTF22aazuuin,SN IIb
ZTF22abkxbeo,SN Ia-pec
ZTF18abqyaix,SN Ia
ZTF20abxezim,SN Ia
ZTF20aahhvci,SN I
ZTF19abgqwed,SN Ia
ZTF24aarxxmm,SN II
ZTF18aaqnxjb,SN Ia
ZTF22abubrek,SN Ia-91T
ZTF24aacgrqp,SN Ia
ZTF18abquxjv,SN Ia
ZTF20acqzpta,SN Ia
ZTF19abisbgx,SN Ia
ZTF19ablesob,SN Ic-BL
ZTF19abnhegb,SN Ia
ZTF23absapsv,SN Ia
ZTF21abebgfr,SN IIn
ZTF19abqqcyo,SN Ia
ZTF18aanxlcr,SN Ia
ZTF18aansqov,SN Ia
ZTF22aartmuz,SN Ia
ZTF18aansqun,SN Ia
ZTF18aatpqxq,SN Ia
ZTF18abmogag,SN Ia
ZTF21aciwkzc,SN Ia
ZTF19absymnz,SN Ia
ZTF18abmoung,SN Ia
ZTF18abjtgdo,SN Ia
ZTF18aaqpeoq,SN Ia
ZTF21abhzicj,SN Ia
ZTF21aaaosoq,SN Ic
ZTF23aamlodm,SN Ia-norm
ZTF18aaiykoz,SN Ia
ZTF18aarunfu,SN Ia-norm
ZTF23aamamlv,SN Ia
ZTF22abjrctf,SN Ia
ZTF19aavmgtv,SN Ia
ZTF19aauisdr,SN IIn
ZTF24aautbcb,SN Ia
ZTF22aaemgsl,SN Ia
ZTF24aaismud,SN Ia
ZTF20aavhyel,SN Ic
ZTF24aaihwaq,SN Ia
ZTF22abfyjgo,SN Ia
ZTF19abpgggu,SN Ia
ZTF19acxowwt,SN Ia
ZTF20aagloch,SN Ia
ZTF18acqsfxh,SN Ia
ZTF21abalnud,SN Ia
ZTF24aaidwhg,SN Ia-91T
ZTF19aaknvlv,SN Ia
ZTF21abcpbqd,SN II
ZTF20aanvliy,SN Ia
ZTF24aahdfdo,SN IIn
ZTF19aaojnrx,SN Ia
ZTF22aaezdtd,SN Ibn
ZTF18abxjekh,SN IIb
ZTF20aammbrw,SN Ia
ZTF20abajsne,SN Ia
ZTF21abizxkw,SN Ia
ZTF18aamxads,SN Ia
ZTF20aavfwdo,SN Ia
ZTF22aalzyzl,SN Ia
ZTF20acvebcu,SN Ib
ZTF20aadyukn,SN Ia
ZTF18acsucef,SN Ia
ZTF19acaqoef,SN Ic
ZTF18acrxppd,SN Ia
ZTF21aaqupdt,SN Ia
ZTF22ablpkba,SN Ia
ZTF22aakcnxq,SN Ia
ZTF21aciouwz,SN Ia
ZTF19acgdxel,SN Ia
ZTF18aabkrky,SN Ia
ZTF18abquyqj,SN Ia
ZTF18abshmro,SN Ia
ZTF19adcdgca,SN Ia
ZTF21accfbyj,SN Ia
ZTF22abtctvo,SN Ia
ZTF18acqnzso,SN Ia
ZTF19abfiqjg,SN Ic
ZTF18abuxjrd,SN Ia
ZTF19aaeuhgo,SN IIP
ZTF21acilvjb,SN Ia
ZTF18acdyypo,SN Ia
ZTF21aciluqg,SN II
ZTF19adbsblp,SN IIP
ZTF23absbkhe,SN Ia
ZTF17aacpbmv,SN Ic
ZTF20abqlawg,SN Ia
ZTF19aatvlfl,SN Ia
ZTF22abfzdjj,SN Ia
ZTF18abxtoqz,SN Ia
ZTF19acfxbki,SN Ia
ZTF23aawqydv,SN Ia
ZTF22abboovp,SN Ia
ZTF22aasthma,SN Ia
ZTF18acbxkop,SN IIP
ZTF19aaykqsk,SN IIP
ZTF19ablfcjr,SN Ia
ZTF19acxgwvo,SN IIP
ZTF19acxgwid,SN Ia
ZTF18aahqkbt,Tidal Disruption Event
ZTF22abybbud,SN II
ZTF23aansrmz,SN Ia
ZTF19abqhobb,SN IIP
ZTF18aaxgwpl,SN Ia
ZTF21abjdqbo,SN Ia
ZTF18ablongw,SN Ia
ZTF21aahptas,SN Ia
ZTF20aajvcwd,SN Ia
ZTF21aagyhax,SN Ia
ZTF23aauzxfh,SN Ia
ZTF21abkinhh,SN Ia
ZTF19aanjyrn,SN
ZTF22aaputwp,SN Ia
ZTF20abbpkng,SN Ib
ZTF18abbikrz,SN Ia
ZTF20aafcjln,SN Ia
ZTF24aajnwwr,SN Ia
ZTF23aafhfwx,SN Ia
ZTF18aasypqx,SN Ia
ZTF18aauvnhh,SN Ia
ZTF20aauombk,SN Ia
ZTF23aaeqhkx,SN Ia
ZTF20aayqjpv,SN Ia
ZTF22abxlqvc,SN Ia
ZTF18aaxnqjb,SN IIP
ZTF19aatnfvj,SN Ia
ZTF24aaosqgf,SN II
ZTF20aahpxzz,SN Ia
ZTF20abdxffu,SN Ia
ZTF19aambixl,SN Ia
ZTF23aalfofn,SN Ia
ZTF21aalcsng,SN Ia
ZTF18aaxeoqk,SN Ia
ZTF18aavsilo,SN Ia
ZTF20acwyoxc,SN Ia
ZTF18acvgyst,SN IIP
ZTF24aadkwni,SN II
ZTF21aalgqsv,SN Ia
ZTF20aatqgeo,SN IIP
ZTF21abasfmq,SN Ia
ZTF19adgooar,SN II
ZTF19abfwhja,SN Ia
ZTF18aahshhp,SN Ia
ZTF22aanmhsi,SN Ia
ZTF20aazycgy,SN IIP
ZTF18aakkrjm,SN Ib
ZTF18aaxokeg,SN Ia
ZTF23aakbqgc,SN Ia
ZTF20aatqidk,SN IIP
ZTF19aawupxb,SN Ia
ZTF20aazgtmp,SN Ia
ZTF22aabyzwm,SN Ia
ZTF23aaiypww,SN Ia
ZTF18aagtwyh,SN Ia
ZTF19aaneugz,SN Ia
ZTF20aclnplo,SN Ic
ZTF18aaaonon,SN Ia
ZTF21aaqhwgh,SN Ia
ZTF22aaffaah,SN Ia
ZTF19acaqqke,SN IIP
ZTF18aawmxdx,SN Ia
ZTF20acpylns,SN Ia
ZTF19aatgaiq,SN Ia
ZTF18accnnyu,SN Ia
ZTF23abgnxri,SN IIn
ZTF22aahieds,SN Ia
ZTF18abavruc,SN Ia
ZTF23abcqwkn,SN Ia
ZTF18aboztku,SN Ia
ZTF19aaxffum,SN Ia-91T
ZTF22abakeha,SN Ia
ZTF20aazkxcw,SN Ia
ZTF24aangsva,SN Ia-norm
ZTF18aaklpdo,SN Ia
ZTF20acpbboa,SN II
ZTF20aayknlo,SN Ia
ZTF19acytidb,SN Ia
ZTF22aatlhve,SN Ia
ZTF19aanfyey,SN Ia
ZTF23abovaur,SN Ib
ZTF20acbiwri,SN IIP
ZTF19adcbpcj,SN Ia
ZTF19aamgttu,SN Ia
ZTF21aaqwbgq,SN Ia
ZTF21acipmgw,SN Ia
ZTF18acvwhaz,SN Ia
ZTF23absouua,SN Ia
ZTF23aackdlm,SN Ia
ZTF18acrdlrp,SN Ia
ZTF23abptnaj,SN Ia
ZTF19acmblbi,SN Ia
ZTF20adaftef,SN Ia
ZTF23aadxrid,SN Ia
ZTF18aczenvx,SN Ia
ZTF19aakykjl,SN Ia
ZTF19aanetjx,SN Ia
ZTF18aarbify,SN Ia
ZTF24aadplte,SN Ia
ZTF22aabnvrz,SN Ia
ZTF22aacgcwv,Tidal Disruption Event
ZTF18acqxsyi,SN Ia
ZTF22aajrdad,SN Ia
ZTF21aagpbkj,SN Ia-91T
ZTF18abwlopg,SN Ia
ZTF19aaklqod,SN Ia
ZTF18acafztq,SN Ia
ZTF18abwlonm,SN Ia
ZTF22aaahtqz,Tidal Disruption Event
ZTF19aalxcyo,SN Ia
ZTF18acuqskr,SN IIP
ZTF22acaeaok,SN Ia
ZTF23aaiwfuq,SN Ia
ZTF18aajpjdi,SN Ia
ZTF18aauuzmf,SN Ia
ZTF18aavnxar,SN Ia
ZTF24aarrrkf,SN Ia
ZTF24aamkufg,SN Ia
ZTF18aabcgyb,SN Ia
ZTF18aaqjqqc,SN Ia
ZTF18aajkrxi,SN Ia
ZTF18aajkcdn,SN Ia
ZTF18aaqpowv,SN II
ZTF18aawpwlf,SN IIP
ZTF18aaisuxz,SN Ia
ZTF20aazbqvr,SN Ia
ZTF21aciialn,SN Ia
ZTF18aarcypa,SN Ia
ZTF20ablnjvp,SN Ia
ZTF22aajrrzz,SN Ia
ZTF23aailodz,SN Ia
ZTF21abdcauj,SN Ia-norm
ZTF24aakrsww,SN Ia
ZTF20aadccel,SN Ia
ZTF18aazhwnh,SN Ia
ZTF22aaohmcv,SN Ia
ZTF18aawglif,SN Ia
