name,file,type
ZTF17aacpbmv,ZTF17aacpbmv_alert_5.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_6.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_7.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_8.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_9.npy,SN Ic
ZTF18aabtxvd,ZTF18aabtxvd_alert_2.npy,Tidal Disruption Event
ZTF18aabtxvd,ZTF18aabtxvd_alert_3.npy,Tidal Disruption Event
ZTF18aabtxvd,ZTF18aabtxvd_alert_4.npy,Tidal Disruption Event
ZTF18aabxlsv,ZTF18aabxlsv_alert_3.npy,SN Ib
ZTF18aabxlsv,ZTF18aabxlsv_alert_4.npy,SN Ib
ZTF18aabxlsv,ZTF18aabxlsv_alert_5.npy,SN Ib
ZTF18aadlaxo,ZTF18aadlaxo_alert_5.npy,SN Ia
ZTF18aadlaxo,ZTF18aadlaxo_alert_6.npy,SN Ia
ZTF18aadlaxo,ZTF18aadlaxo_alert_7.npy,SN Ia
ZTF18aadlaxo,ZTF18aadlaxo_alert_8.npy,SN Ia
ZTF18aadlaxo,ZTF18aadlaxo_alert_9.npy,SN Ia
ZTF18aadsuxd,ZTF18aadsuxd_alert_17.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_19.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_21.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_23.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_25.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_26.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_28.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_30.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_32.npy,SN II
ZTF18aadsuxd,ZTF18aadsuxd_alert_34.npy,SN II
ZTF18aaemivw,ZTF18aaemivw_alert_12.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_13.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_14.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_16.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_17.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_18.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_19.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_21.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_22.npy,SN Ia
ZTF18aaemivw,ZTF18aaemivw_alert_23.npy,SN Ia
ZTF18aaexyql,ZTF18aaexyql_alert_4.npy,SN Ib
ZTF18aaexyql,ZTF18aaexyql_alert_5.npy,SN Ib
ZTF18aaexyql,ZTF18aaexyql_alert_6.npy,SN Ib
ZTF18aaexyql,ZTF18aaexyql_alert_7.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_14.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_15.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_17.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_18.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_20.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_21.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_23.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_24.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_26.npy,SN Ib
ZTF18aagrdcs,ZTF18aagrdcs_alert_27.npy,SN Ib
ZTF18aahhqih,ZTF18aahhqih_alert_4.npy,SN IIP
ZTF18aahhqih,ZTF18aahhqih_alert_5.npy,SN IIP
ZTF18aahhqih,ZTF18aahhqih_alert_6.npy,SN IIP
ZTF18aahhqih,ZTF18aahhqih_alert_7.npy,SN IIP
ZTF18aahhqih,ZTF18aahhqih_alert_8.npy,SN IIP
ZTF18aahhzqn,ZTF18aahhzqn_alert_10.npy,SN Ib
ZTF18aahhzqn,ZTF18aahhzqn_alert_11.npy,SN Ib
ZTF18aahhzqn,ZTF18aahhzqn_alert_12.npy,SN Ib
ZTF18aahhzqn,ZTF18aahhzqn_alert_13.npy,SN Ib
