name,file,type
ZTF17aaajnki,ZTF17aaajnki_alert_2.npy,AGN
ZTF17aaaukqn,ZTF17aaaukqn_alert_10.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_11.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_12.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_13.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_14.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_16.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_17.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_18.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_19.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_20.npy,Cataclysmic
ZTF17aaawgkc,ZTF17aaawgkc_alert_1.npy,Cataclysmic
ZTF17aacpbmv,ZTF17aacpbmv_alert_5.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_6.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_7.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_8.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_9.npy,SN Ic
ZTF17aadcbei,ZTF17aadcbei_alert_10.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_11.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_12.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_6.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_7.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_8.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_9.npy,Cataclysmic
ZTF18aaakpbx,ZTF18aaakpbx_alert_4.npy,Cataclysmic
ZTF18aaakpbx,ZTF18aaakpbx_alert_5.npy,Cataclysmic
ZTF18aaakpbx,ZTF18aaakpbx_alert_6.npy,Cataclysmic
ZTF18aaakpbx,ZTF18aaakpbx_alert_7.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_10.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_11.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_12.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_13.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_14.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_15.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_16.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_17.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_18.npy,Cataclysmic
