name,file,type
ZTF17aaajnki,ZTF17aaajnki_alert_1.npy,AGN
ZTF17aaajnki,ZTF17aaajnki_alert_2.npy,AGN
ZTF17aaaobyl,ZTF17aaaobyl_alert_2.npy,Cataclysmic
ZTF17aaaobyl,ZTF17aaaobyl_alert_3.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_10.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_11.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_12.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_13.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_14.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_16.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_17.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_18.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_19.npy,Cataclysmic
ZTF17aaaukqn,ZTF17aaaukqn_alert_20.npy,Cataclysmic
ZTF17aaawgkc,ZTF17aaawgkc_alert_1.npy,Cataclysmic
ZTF17aaazdba,ZTF17aaazdba_alert_0.npy,Tidal Disruption Event
ZTF17aabtvsy,ZTF17aabtvsy_alert_1.npy,SN Ia
ZTF17aaburzk,ZTF17aaburzk_alert_0.npy,Cataclysmic
ZTF17aacldgo,ZTF17aacldgo_alert_10.npy,SN Ia
ZTF17aacldgo,ZTF17aacldgo_alert_11.npy,SN Ia
ZTF17aacldgo,ZTF17aacldgo_alert_12.npy,SN Ia
ZTF17aacldgo,ZTF17aacldgo_alert_6.npy,SN Ia
ZTF17aacldgo,ZTF17aacldgo_alert_7.npy,SN Ia
ZTF17aacldgo,ZTF17aacldgo_alert_8.npy,SN Ia
ZTF17aacldgo,ZTF17aacldgo_alert_9.npy,SN Ia
ZTF17aacpbmv,ZTF17aacpbmv_alert_5.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_6.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_7.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_8.npy,SN Ic
ZTF17aacpbmv,ZTF17aacpbmv_alert_9.npy,SN Ic
ZTF17aadcbei,ZTF17aadcbei_alert_10.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_11.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_12.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_6.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_7.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_8.npy,Cataclysmic
ZTF17aadcbei,ZTF17aadcbei_alert_9.npy,Cataclysmic
ZTF18aaabltn,ZTF18aaabltn_alert_0.npy,AGN
ZTF18aaadtdc,ZTF18aaadtdc_alert_0.npy,AGN
ZTF18aaakpbx,ZTF18aaakpbx_alert_4.npy,Cataclysmic
ZTF18aaakpbx,ZTF18aaakpbx_alert_5.npy,Cataclysmic
ZTF18aaakpbx,ZTF18aaakpbx_alert_6.npy,Cataclysmic
ZTF18aaakpbx,ZTF18aaakpbx_alert_7.npy,Cataclysmic
ZTF18aaakpsa,ZTF18aaakpsa_alert_0.npy,AGN
ZTF18aaaokus,ZTF18aaaokus_alert_0.npy,AGN
ZTF18aaaonon,ZTF18aaaonon_alert_0.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_10.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_11.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_12.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_13.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_14.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_15.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_16.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_17.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_18.npy,SN Ia
ZTF18aaaqexr,ZTF18aaaqexr_alert_9.npy,SN Ia
ZTF18aaavffc,ZTF18aaavffc_alert_1.npy,AGN
ZTF18aabcgyb,ZTF18aabcgyb_alert_1.npy,SN Ia
ZTF18aabcgyb,ZTF18aabcgyb_alert_2.npy,SN Ia
ZTF18aabdajx,ZTF18aabdajx_alert_1.npy,Tidal Disruption Event
ZTF18aabfxpw,ZTF18aabfxpw_alert_10.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_11.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_12.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_13.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_14.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_15.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_16.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_17.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_18.npy,Cataclysmic
ZTF18aabfxpw,ZTF18aabfxpw_alert_9.npy,Cataclysmic
ZTF18aabhooi,ZTF18aabhooi_alert_0.npy,Stellar variable
ZTF18aabicqe,ZTF18aabicqe_alert_0.npy,AGN
ZTF18aabiwhf,ZTF18aabiwhf_alert_4.npy,Cataclysmic
ZTF18aabiwhf,ZTF18aabiwhf_alert_5.npy,Cataclysmic
ZTF18aabiwhf,ZTF18aabiwhf_alert_6.npy,Cataclysmic
ZTF18aabiwhf,ZTF18aabiwhf_alert_7.npy,Cataclysmic
ZTF18aabkrky,ZTF18aabkrky_alert_2.npy,SN Ia
ZTF18aabkrky,ZTF18aabkrky_alert_3.npy,SN Ia
ZTF18aabkrky,ZTF18aabkrky_alert_4.npy,SN Ia
ZTF18aabssth,ZTF18aabssth_alert_13.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_14.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_16.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_17.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_19.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_20.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_22.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_23.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_25.npy,SN IIP
ZTF18aabssth,ZTF18aabssth_alert_26.npy,SN IIP
ZTF18aabtxvd,ZTF18aabtxvd_alert_2.npy,Tidal Disruption Event
ZTF18aabtxvd,ZTF18aabtxvd_alert_3.npy,Tidal Disruption Event
ZTF18aabtxvd,ZTF18aabtxvd_alert_4.npy,Tidal Disruption Event
ZTF18aabvpbb,ZTF18aabvpbb_alert_1.npy,Cataclysmic
ZTF18aabxlsv,ZTF18aabxlsv_alert_3.npy,SN Ib
ZTF18aabxlsv,ZTF18aabxlsv_alert_4.npy,SN Ib
ZTF18aabxlsv,ZTF18aabxlsv_alert_5.npy,SN Ib
ZTF18aaceepu,ZTF18aaceepu_alert_16.npy,SN Ia
ZTF18aaceepu,ZTF18aaceepu_alert_18.npy,SN Ia
ZTF18aaceepu,ZTF18aaceepu_alert_20.npy,SN Ia
ZTF18aaceepu,ZTF18aaceepu_alert_21.npy,SN Ia
ZTF18aaceepu,ZTF18aaceepu_alert_23.npy,SN Ia
