obj_id,type
ZTF18aakpnyt,AGN
ZTF18aclgopa,AGN
ZTF18adjoimi,AGN
ZTF18aamyexb,AGN
ZTF18adbabtq,AGN
ZTF20aakwpsf,AGN
ZTF18aavohdq,AGN
ZTF19acgpwkz,AGN
ZTF20aalytmd,AGN
ZTF19aaxzdtw,SN Ic
ZTF18abvnsmh,AGN
ZTF19abekmfr,AGN
ZTF19aalbaff,AGN
ZTF18aaxjuwy,SN IIn
ZTF18acnbptb,SN IIP
ZTF22aabomyi,SN IIn
ZTF18aaqlksk,AGN
ZTF18abqarng,AGN
ZTF18aakfabl,SN IIP
ZTF19aanbpus,SN IIb
ZTF20acwofhd,SN Ic
ZTF18abtmnrx,AGN
ZTF22aazuuin,SN IIb
ZTF24aarxxmm,SN II
ZTF18abuwcul,AGN
ZTF21abebgfr,SN IIn
ZTF18aamxzjx,AGN
ZTF21aaaosoq,SN Ic
ZTF19aauisdr,SN IIn
ZTF20aavhyel,SN Ic
ZTF21abcpbqd,SN II
ZTF20acxffhe,AGN
ZTF24aahdfdo,SN IIn
ZTF18abxjekh,SN IIb
ZTF20acvebcu,SN Ib
ZTF19acaqoef,SN Ic
ZTF19abfiqjg,SN Ic
ZTF19aaeuhgo,SN IIP
ZTF21aciluqg,SN II
ZTF19adbsblp,SN IIP
ZTF17aacpbmv,SN Ic
ZTF18abunnms,AGN
ZTF19acxgwvo,SN IIP
ZTF18aahqkbt,Tidal Disruption Event
ZTF22abybbud,SN II
ZTF19abqhobb,SN IIP
ZTF19aanxcre,AGN
ZTF18aaxnqjb,SN IIP
ZTF18aavskyg,AGN
ZTF18abdribr,AGN
ZTF18aamfsxv,AGN
ZTF18acvgyst,SN IIP
ZTF24aadkwni,SN II
ZTF20aatqgeo,SN IIP
ZTF19adgooar,SN II
ZTF20aazycgy,SN IIP
ZTF18aakkrjm,SN Ib
ZTF18aajnqmp,AGN
ZTF20aatqidk,SN IIP
ZTF20aclnplo,SN Ic
ZTF19acaqqke,SN IIP
ZTF23abgnxri,SN IIn
ZTF18aaflcyp,AGN
ZTF18aatxsvu,AGN
ZTF23abovaur,SN Ib
ZTF19aacwjfb,AGN
ZTF18aaabltn,AGN
ZTF18aaxzpyh,AGN
ZTF22aacgcwv,Tidal Disruption Event
ZTF22aaahtqz,Tidal Disruption Event
ZTF20acnviht,AGN
ZTF18acuqskr,SN IIP
ZTF18aavrjtq,AGN
ZTF18aaqpowv,SN II
ZTF18aawpwlf,SN IIP
ZTF18aaylbyr,AGN
ZTF18aauvyug,AGN
ZTF22abyokkf,SN II
ZTF22aaebkwd,SN Ib
ZTF20abefbpl,SN Ic
ZTF23absjgzg,AGN
ZTF22abxlfpl,SN Ic
ZTF21abkajar,SN IIP
